Title,Condition,Buy Price,Author,Publisher,ISBN
The Double and The Gambler,Very Good,13.79,Fyodor Dostoevsky,Vintage,0375719016
To Have and to Hold: A Tale of Providence and Perseverance in Colonial Jamestown,Acceptable,6.09,Mary Johnston,Createspace Independent Publishing Platform,1973855925
The Short Reign of Pippin IV: A Fabrication,Acceptable,7.89,John Steinbeck,Penguin Publishing Group,0143039466
When a Man's a Man,Good,12.09,Harold Bell Wright,Pelican Publishing Company,1455616214
Tarzan at the Earth's Core:Classic Original Edition By Edgar Rice,Acceptable,8.99,Edgar Rice Burroughs,"Edgar Rice Burroughs, Inc.",1951537122
Rites of Passage,Good,6.69,William Golding,"Farrar, Straus and Giroux",0374526400
A Burnt-Out Case,Good,6.39,Graham Greene,Penguin Publishing Group,0140185399
Chicago: City on the Make,Very Good,8.19,Nelson Algren,University of Chicago Press,0226013863
The Collected Stories of Guy de Maupassant,Acceptable,7.29,Guy de Maupassant,Barnes & Noble Classics,1593082223
"春琴抄 Shunkinshō, 恐怖 Kyōfu, Yume no ukihashi, 刺青 Shisei, 私 Watakushi, 青い花 Aoi hana, Momoku monogatari",New,14.18,Jun'ichirō Tanizaki,Vintage,0679761071
Phineas Redux,Good,11.39,Anthony Trollope,Oxford University Press,019958348X
The Bird's Nest,New,14.2,Shirley Jackson,Penguin Classics,0143107038
The Bride of Lammermoor,Acceptable,9.49,Walter Scott,Oxford University Press,0199552509
Dear Enemy,Good,8.79,Jean Webster,Yearling Books,0440404401
Officers and Gentlemen,Very Good,12.09,Evelyn Waugh,Little Brown and Company,0316216615
The Hammer of God,Very Good,6.59,Arthur C. Clarke,Spectra Books,055356871X
The Ides of March,Good,6.69,Thornton Wilder,Harper Perennial,0062990195
The Innocents Abroad / Roughing It,Good,7.69,Mark Twain,Library of America,0940450259
The Spanish Bride,Good,6.19,Georgette Heyer,Pan,B0007EQ4G8
Diary of a Mad Housewife,Good,9.59,Sue Kaufman,Seal Press (CA),1560256877
Niebla,Good,11.59,Miguel de Unamuno,Northwestern University Press,0810135361
Don Quijote de la Mancha,Very Good,6.79,Marcia Williams,Candlewick Press (MA),1564021742
Mary Poppins from A to Z,Good,24.79,P.L. Travers,Houghton Mifflin Harcourt P,0152525904
Kaputt,Very Good,12.89,Curzio Malaparte,New York Review of Books,1590171470
Der Weg zurück,New,14.48,Erich Maria Remarque,Random House Trade,0449912469
Сказки,Acceptable,9.09,Alexander Pushkin,Medny Vsadnik Trading House Publishers,5938938678
Lost on Venus,Good,9.49,Edgar Rice Burroughs,Ace Books,0441062210
An American Dream,Acceptable,6.49,Norman Mailer,Random House Trade,081298613X
Reporting World War II Vol. 2: American Journalism 1944-1946,Good,5.29,,Library of America,1883011051
On the Occasion of My Last Afternoon: A Novel,Acceptable,4.29,Kaye Gibbons,Harper Perennial,0060797142
